hog	genes
N1.HOG0002007	CG45065
N1.HOG0002008	CG45064
N1.HOG0002010	CG9518
N1.HOG0002011	Cyp6d2
N1.HOG0002013	Cyp6d5
N1.HOG0002015	Cyp6d4
N1.HOG0002018	Cyp6a13
N1.HOG0002020	veil,CG30103
N1.HOG0002021	NT5E-2
N1.HOG0002022	CG3285,CG15408
N1.HOG0002024	CG9360,CG3301
N1.HOG0002025	Diedel3,Diedel2,Diedel
N1.HOG0002026	CG16719
N1.HOG0002028	CG12395
N1.HOG0002029	Toll-4
N1.HOG0002032	GstE4,GstE5,GstE6,GstE7,GstE8
N1.HOG0002033	CG2444
N1.HOG0002036	CG34177
N1.HOG0002040	CG34215
N1.HOG0002041	CG7794
N1.HOG0002042	alphaTub67C
N1.HOG0002047	alphaTub84B
N1.HOG0002049	alphaTub84D
N1.HOG0002051	alphaTub85E
N1.HOG0002052	sut1
N1.HOG0002053	sut2
N1.HOG0002054	sut3
N1.HOG0002056	CG7882
N1.HOG0002057	Ugt49C1
N1.HOG0002058	Ugt49B2,Ugt49B1
N1.HOG0002059	Cyp313a5,Cyp313a2,Cyp313a3,Cyp313a1
N1.HOG0002060	Cyp313a4
N1.HOG0002061	CG15056,CG14891
N1.HOG0002062	CG13088
N1.HOG0002064	CG31633
N1.HOG0002065	Ir47a,Ir94a,Ir94b,Ir94c
N1.HOG0002066	CG5707
N1.HOG0002068	CG5704,CG15879,CG15820
N1.HOG0002070	CG11475
N1.HOG0002071	CG11474
N1.HOG0002072	CG4161
N1.HOG0002073	CG2921
N1.HOG0002075	Cyp12a5,Cyp12a4
N1.HOG0002077	Cyp12c1
N1.HOG0002126	BomS3,BomS1,BomS5,BomS4,BomS2,BomS6
N1.HOG0002127	CG7255
N1.HOG0002128	CG13248
N1.HOG0002129	CG5535
N1.HOG0002134	slif
N1.HOG0002137	CG6421
N1.HOG0002138	CG6429,CG6435
N1.HOG0002139	CG6426
N1.HOG0002141	CG43308
N1.HOG0002142	CG11018
N1.HOG0002144	Cyp6a22
N1.HOG0002146	Cyp6a23,Cyp6a17
N1.HOG0002147	Cyp6a19
N1.HOG0002149	CG33234
N1.HOG0002150	CG33233
N1.HOG0002151	CG31106
N1.HOG0002152	CG31103
N1.HOG0002153	Ugt35B1,Ugt35D1,Ugt35E1,Ugt35E2
N1.HOG0002155	Ugt35A1
N1.HOG0002161	elfless
N1.HOG0002166	dgrn
N1.HOG0002172	CG44271
N1.HOG0002173	Lfg
N1.HOG0002174	CG33673,Recs1,Nmda1
N1.HOG0002176	tomboy20
N1.HOG0002177	Tom20
N1.HOG0002178	Fum4
N1.HOG0002179	Fum3
N1.HOG0002181	Fum2
N1.HOG0002182	Fum1
N1.HOG0002185	SkpB
N1.HOG0002189	SkpF
N1.HOG0002204	SkpA
N1.HOG0002207	wa-cup
N1.HOG0002208	CG15128,CG7634
N1.HOG0002209	CG16995
N1.HOG0002210	CG31482
N1.HOG0002211	CG4270
N1.HOG0002214	CecA1,CecA2,CecB,CecC
N1.HOG0002258	Cyp4p1,Cyp4p2,Cyp4p3
N1.HOG0002259	CG32473
N1.HOG0002260	CG8773
N1.HOG0002261	CG8774
N1.HOG0002262	Obp56a
N1.HOG0002263	Obp56f
N1.HOG0002264	Obp56d,Obp56e
N1.HOG0002271	CG31664,orion
N1.HOG0002279	CG43755
N1.HOG0002280	CG31921,CG31797
N1.HOG0002287	Hsp60B
N1.HOG0002288	Hsp60D
N1.HOG0002291	Hsp60C
N1.HOG0002292	Hsp60A
N1.HOG0002293	LManII
N1.HOG0002294	LManIII,LManV,LManIV,LManVI,LManI
N1.HOG0002295	CG33552,CG13481,CG17329,CG14983,CG31807
N1.HOG0002297	CG14744,CG12376,CG14743,CG5348
N1.HOG0002312	CheA84a,CheA86a
N1.HOG0002313	CheA75a
N1.HOG0002314	CG12209
N1.HOG0002315	CG34315,CG42571,CG42570
N1.HOG0002316	CG18088,CG9988,CG32985,CG32984
N1.HOG0002317	CG10730,CG9168
N1.HOG0002318	AANATL3,AANATL4
N1.HOG0002320	CG11598,CG11600,CG11608,CG18530
N1.HOG0002321	CG31091,CG31089
N1.HOG0002322	CG40486
N1.HOG0002323	CG40485
N1.HOG0002324	Antdh
N1.HOG0002327	CG10953,CG30457
N1.HOG0002329	CG17290,CG30458
N1.HOG0002330	Est-6,Est-P
N1.HOG0002331	CG42565,CG13510
N1.HOG0002332	Dcp-1
N1.HOG0002333	Drice
N1.HOG0002334	CG31358,CG14736,Mec2
N1.HOG0002337	CG43120
N1.HOG0002338	CG11714
N1.HOG0002343	CG10748,CG10749
N1.HOG0002345	Mdh2
N1.HOG0002346	Idgf3
N1.HOG0002347	Idgf1
N1.HOG0002350	Idgf2
N1.HOG0002352	CG13801,CG11262,CG31693
N1.HOG0002354	hoe1
N1.HOG0002355	Roc1a
N1.HOG0002375	CG18063,CG13544,CG31735,CG12448
N1.HOG0002376	Smvt
N1.HOG0002377	CG2187,salt
N1.HOG0002378	lolal
N1.HOG0002381	CG8924
N1.HOG0002386	lola
N1.HOG0002388	GstE1,GstE2
N1.HOG0002389	CG33640
N1.HOG0002392	CG33641,CG33642,CG33643,CG33645
N1.HOG0002395	CG13042
N1.HOG0002398	CG13043
N1.HOG0002399	CG34447
N1.HOG0002400	CG34448,CG14034
N1.HOG0002402	CG42302,Tim13
N1.HOG0002403	CG34132
N1.HOG0002404	Ir94g
N1.HOG0002405	Ir94f
N1.HOG0002406	Ir20a,Ir94h
N1.HOG0002407	CG43294
N1.HOG0002408	CG42397,CG14125,Muc68E
N1.HOG0002409	CG11570
N1.HOG0002410	CG31548
N1.HOG0002411	CG12171,CG31549
N1.HOG0002413	Cpr67Fa1,Cpr67Fa2
N1.HOG0002414	Cpr65Ec
N1.HOG0002415	Cpr65Eb
N1.HOG0002417	CG11843,CG11841,CG11842
N1.HOG0002418	CG9747
N1.HOG0002421	Desat2
N1.HOG0002422	Desat1
N1.HOG0002424	CG33792
N1.HOG0002425	CG33919,CG33467,CG33137
N1.HOG0002426	Gr92a,Gr93b,Gr93c,Gr93d
N1.HOG0002428	CG31205
N1.HOG0002430	CG31199
N1.HOG0002431	CG13308,CG13309,CG32024
N1.HOG0002432	CG13312
N1.HOG0002433	CG42561,CG42562
N1.HOG0002435	Gpo2
N1.HOG0002436	Gpo3
N1.HOG0002438	Gpo1
N1.HOG0002439	CG6052
N1.HOG0002442	CG8908
N1.HOG0002443	CG42816,CG31213
N1.HOG0002444	Abca3
N1.HOG0002477	nAChRalpha7
N1.HOG0002485	nAChRalpha6
N1.HOG0002491	Eglp3,Eglp2
N1.HOG0002492	Eglp4
N1.HOG0002494	Spn42Da
N1.HOG0002495	Spn42Db
N1.HOG0002496	CG7768
N1.HOG0002500	Cyp1
N1.HOG0002501	scpr-C,scpr-B,scpr-A
N1.HOG0002502	CG34274,CG31294
N1.HOG0002503	CG34297
N1.HOG0002505	CG11286
N1.HOG0002506	CG42650,CG10919
N1.HOG0002528	Naa20B,CG31730
N1.HOG0002530	Naa20A
N1.HOG0002531	MtnB,MtnE,MtnC
N1.HOG0002533	HP1b
N1.HOG0002534	rhi
N1.HOG0002538	HP6
N1.HOG0002539	Inx6
N1.HOG0002540	zpg
N1.HOG0002541	Inx5
N1.HOG0002542	CG4631
N1.HOG0002545	CG11629
N1.HOG0002546	CG31815
N1.HOG0002547	CG5316
N1.HOG0002548	ssx,maca
N1.HOG0002552	Prtl99C
N1.HOG0002559	CG46192
N1.HOG0002560	ProtA,ProtB
N1.HOG0002564	CG18493
N1.HOG0002565	CG3739
N1.HOG0002566	CG5653,CG7460,CG6034
N1.HOG0002567	CG13771,CG1774
N1.HOG0002568	CG1638,CG1635
N1.HOG0002570	CG14689,CG31391,CG31467
N1.HOG0002572	PGRP-SC1a,PGRP-SC1b,PGRP-SC2
N1.HOG0002574	Dd
N1.HOG0002583	CG8584
N1.HOG0002584	CG12078
N1.HOG0002587	Ir52a,Ir52d,Ir52b,Ir52c
N1.HOG0002588	CG12289,CG7551,CG7328
N1.HOG0002589	brv3,brv2,brv1
N1.HOG0002591	CG30270
N1.HOG0002592	CG34234
N1.HOG0002593	CG31523
N1.HOG0002594	CG31522
N1.HOG0002595	Elovl7
N1.HOG0002596	Vha68-2,Vha68-3
N1.HOG0002597	Vha68-1
N1.HOG0002599	Cpr66Cb
N1.HOG0002600	CG34461
N1.HOG0002601	Cpr62Bc
N1.HOG0002602	CG14609
N1.HOG0002603	Prosbeta2,Prosbeta2R1,Prosbeta2R2
N1.HOG0002604	CG2964
N1.HOG0002605	CG7069
N1.HOG0002606	PyK
N1.HOG0002607	CG42854,CG12112
N1.HOG0002617	Doc1
N1.HOG0002618	Doc3
N1.HOG0002619	Doc2
N1.HOG0002652	CG15155,CG5783
N1.HOG0002654	CG17681
N1.HOG0002655	Yp2
N1.HOG0002656	Yp3
N1.HOG0002657	Yp1
N1.HOG0002658	CG13473
N1.HOG0002659	TrxT
N1.HOG0002660	Trx-2
N1.HOG0002662	COX6AL2
N1.HOG0002664	COX6AL
N1.HOG0002666	levy
N1.HOG0002669	Tim17b1
N1.HOG0002670	Tim17b,Tim17b2,CG1724
N1.HOG0002671	Pgm2a,Pgm2b
N1.HOG0002673	CG6901,CG17929,CG17930
N1.HOG0002674	et
N1.HOG0002675	dome
N1.HOG0002676	Argp
N1.HOG0002678	primo-2
N1.HOG0002679	primo-1
N1.HOG0002680	CG9452
N1.HOG0002681	CG9451
N1.HOG0002682	CG9449
N1.HOG0002721	Gs1l
N1.HOG0002722	CG5565,CG31924
N1.HOG0002723	Lsp1gamma
N1.HOG0002724	Lsp1beta,Lsp1alpha
N1.HOG0002728	CG34283,CG32625
N1.HOG0002733	CG9294
N1.HOG0002734	CG18735
N1.HOG0002735	tpr
N1.HOG0002738	CG42780
N1.HOG0002740	Ag5r2
N1.HOG0002741	Ag5r
N1.HOG0002742	CG15035,fig
N1.HOG0002743	CG12091
N1.HOG0002744	Ugt303B3,Ugt303B1,Ugt303B2,Ugt303A1
N1.HOG0002745	CG44005,CG44006,CG44004
N1.HOG0002746	CG14500
N1.HOG0002747	beat-Ic
N1.HOG0002748	beat-Ia
N1.HOG0002749	beat-Ib
N1.HOG0002750	Glyat,CG12560
N1.HOG0002751	tbrd-2
N1.HOG0002763	CG34227
N1.HOG0002764	CanA1
N1.HOG0002765	Pp2B-14D
N1.HOG0002766	CanA-14F
N1.HOG0002768	kl-5
N1.HOG0002769	CG3339
N1.HOG0002770	Dhc93AB
N1.HOG0002773	CG7465
N1.HOG0002780	CG13705
N1.HOG0002781	CG32237
N1.HOG0002783	CAH6
N1.HOG0002784	CAH5
N1.HOG0002785	CAH16
N1.HOG0002786	Acp65Aa
N1.HOG0002788	Cpr65Aw
N1.HOG0002789	Cpr65Av
N1.HOG0002792	CG10029
N1.HOG0002794	ERp44
N1.HOG0002797	CG4712,CG4714,CG31231
N1.HOG0002798	CG15096
N1.HOG0002799	Acox57D-d
N1.HOG0002801	Acox57D-p
N1.HOG0002802	CG9391
N1.HOG0002806	CG9389
N1.HOG0002809	CG31933
N1.HOG0002810	CG3123,CG11630,CG1428,CG14731
N1.HOG0002815	Ir67c
N1.HOG0002816	Ir67b
N1.HOG0002834	CG15098
N1.HOG0002835	CG14693,CG12698,CG8958
N1.HOG0002836	ND-51L2
N1.HOG0002837	ND-51L1
N1.HOG0002838	ND-51
N1.HOG0002840	CG9568,CG13102
N1.HOG0002841	CG42362,CG42363
N1.HOG0002842	CG34345,CG18233,CG18231,CG32201,CG32199
N1.HOG0002845	CG5715
N1.HOG0002847	CG6763
N1.HOG0002850	CG3502
N1.HOG0002851	CG31445,SP1029
N1.HOG0002854	Or74a
N1.HOG0002855	Or35a
N1.HOG0002856	AttA,AttB
N1.HOG0002857	VhaM9.7-a
N1.HOG0002858	VhaM9.7-c,VhaM9.7-b
N1.HOG0002859	CG10469
N1.HOG0002860	CG15556,CG11318
N1.HOG0002863	rdx
N1.HOG0002870	CG33966
N1.HOG0002872	CG33514
N1.HOG0002873	Lip4,CG18301,CG18284,CG17097,CG31872
N1.HOG0002874	CG13334
N1.HOG0002879	Ldh
N1.HOG0002880	CG12520
N1.HOG0002883	CG3625
N1.HOG0002884	CG11601,CG6149
N1.HOG0002885	CG15717,CG11634,CG12516,CG2336
N1.HOG0002886	CG5787,Pih1D1
N1.HOG0002896	CG15459
N1.HOG0002898	Neb-cGP
N1.HOG0002901	CG15458
N1.HOG0002906	CG5440
N1.HOG0002907	CG2574
N1.HOG0002915	rumpel
N1.HOG0002916	Gr59b,Gr59a
N1.HOG0002918	CG18585
N1.HOG0002920	CG7025
N1.HOG0002921	Adgf-E,Adgf-B
N1.HOG0002922	Adgf-A
N1.HOG0002923	Pgant6
N1.HOG0002924	CG31776,Pgant4
N1.HOG0002926	CG14402,CG32462
N1.HOG0002928	CG32436
N1.HOG0002930	dpr8
N1.HOG0002933	dpr21
N1.HOG0002935	dpr6
N1.HOG0002937	Ugt302E1,Ugt302C1
N1.HOG0002938	Ugt302K1
N1.HOG0002939	Ir75a
N1.HOG0002941	Ir75b
N1.HOG0002942	Ir75c
N1.HOG0002943	CG34300,CG42531,CG43198
N1.HOG0002944	CG34230
N1.HOG0002946	CG7024
N1.HOG0002948	Pdha
N1.HOG0002949	Amyrel
N1.HOG0002950	Amy-p,Amy-d
N1.HOG0002951	Cyp9c1,Cyp9h1
N1.HOG0002952	CG44013,CG44014
N1.HOG0002956	sofe,feo
N1.HOG0002960	CG4598,CG4594
N1.HOG0002961	CG4592
N1.HOG0002963	DptB
N1.HOG0002964	DptA
N1.HOG0002965	CG31816
N1.HOG0002966	CG14658,CG14659
N1.HOG0002970	e(r)
N1.HOG0002974	CG42828,CG42827
N1.HOG0002976	CG4927,CG3700
N1.HOG0002979	Ser6,CG1304
N1.HOG0002980	BTBD9
N1.HOG0002983	Spn28Da,Spn42Dd,Spn28B,Spn38F,Spn28F
N1.HOG0002984	Menl-2,Menl-1
N1.HOG0002985	Men-b
N1.HOG0002986	CG7402
N1.HOG0002987	CG7408
N1.HOG0002988	CG32191
N1.HOG0002989	CG8343
N1.HOG0002990	Or47a
N1.HOG0002991	Or9a
N1.HOG0002992	CG2901,CG10481
